town,apartments_condos_multis_per_residential_parcels_2011,assessed_home_value_changes_2009-2013,births_per_1000_residents_2010,boaters_per_10000_residents_2012,burglaries_per_10000_residents_2011,cars_motorcycles_&_trucks_average_age_2012,cars_per_1000_residents_2012,class_size_in_school_district_2011-2012,condos_as_perc_of_parcels_2012,crashes_per_1000_residents_2007-2011,culture_and_rec_spending_per_person_2012,education_spending_as_a_percent_2012,education_spending_per_resident_2012,expenditures_per_resident_2012,females_percent_in_community_2010,fire_dept_spending_as_a_percent_2012,firefighter_costs_per_resident_2012,fixed_costs_percent_2012,gun_licenses_per_1000_residents_2012,historic_places_per_10000_2013,home_schooled_per_1000_students_2011-2012,homes_built_in_39_or_before,household_member_who_is_2_races_or_more_per_1000_households_2010,households_average_size_2010,households_one-person_2010,hybrid_cars_per_1000_vehicles_2013,in_home_since_1969_or_earlier,income_average_per_resident_2010,income_change_per_resident_2007-2010,inmates_in_state_prison_per_1000_residents,liquor_licenses_per_10000_2011,median_age_2011,miles_driven_daily_per_household_05-07,minority_students_per_district_2012-2013,motorcycles_change_in_ownership_2000-2012,motorcycles_per_1000_2012,multi-generation_households_2010,police_costs_per_resident_2013,police_employees_per_10000_residents_2011,police_spending_as_a_percent_2012,population_change_1950-2010,population_change_2010-2011,presidential_fundraising_obama_vs_romney,property_crimes_per_10000_residents_2012,property_tax_change_09-13,pupils_per_cost_average_by_district_2011-2012,residential_taxes_as_percent_of_all_property_taxes_2013,saltwater_fishing_licenses_per_1000_2013,school_district_growth_09-13,single-person_households_percent_65_and_older,snowmobiles_per_10000_residents_2012,state_aid_as_a_percent_of_town_budget_2012,students_in_public_schools_2011,tax-exempt_property_2012,taxable_property_by_percent_2012,teacher_salaries_by_average_2011,teachers_percent_under_40_years_old_2011-2012,trucks_per_1000_residents_2012,violent_crimes_per_10000_residents_2012,voters_as_a_percent_of_population_2012,voters_change_in_registrations_between_1982-2012,voters_democrats_as_a_percent_2012,2020_votes,2020_biden_margin,population,vax_level
Freetown,0.027,-0.152,9.7,497.2,69.8,10.4,469.9,,0.003,125.6,12.0,54.5,1140.0,2044.0,49.8,5.04,103.0,12.8,115.2,2.3,14.4,13.8,5.1,2.78,14.7,10.6,5.9,29951,0.01,0.3,12.4,42.3,96.1,,0.347,45.5,55.3,197.0,20.2,9.7,3.22,0.001,15.0,224.0,0.109,,81.7,37.2,,41.5,19.1,9.1,0.946,7.0,93.1,61405.0,,443,13.4,6357,0.83,26.4,5506,-8.0,2213.0,medium
Gardner,0.286,-0.14,11.5,143.9,116.3,9.7,397.9,19.2,0.081,149.7,51.0,51.8,1020.0,1892.0,48.8,5.64,107.0,9.5,64.8,6.4,12.0,42.4,5.6,2.3,32.1,15.3,7.1,18444,-0.01,1.3,18.8,39.2,53.8,21.7,0.106,20.2,23.1,111.0,19.7,5.9,0.03,0.003,25.0,256.0,0.15,11310.0,82.1,18.5,-0.074,39.6,46.3,40.7,0.908,15.9,84.1,66028.0,0.28,273,43.0,11809,0.26,32.6,9444,13.0,5068.0,medium
Georgetown,0.079,-0.106,8.6,222.4,25.5,9.3,442.7,22.8,0.044,64.3,41.0,58.8,1597.0,2549.0,50.6,1.91,49.0,17.4,76.4,4.9,0.0,21.9,5.6,2.78,17.8,17.6,7.7,38310,0.06,0.2,9.8,40.6,90.8,3.8,0.134,26.9,30.3,165.0,18.2,6.5,2.39,0.008,44.0,,0.214,10511.0,90.7,30.6,-0.084,43.5,3.6,22.3,0.973,7.9,92.1,61801.0,0.41,382,,6202,0.86,22.5,5585,12.0,2225.0,medium
Gill,0.089,-0.033,7.3,726.7,19.9,10.7,489.3,,0.019,55.3,16.0,55.9,1020.0,1700.0,50.3,2.36,40.0,6.7,140.9,0.0,45.5,32.7,3.3,2.35,28.3,19.3,7.3,21313,-0.04,1.3,40.0,49.5,73.2,,-0.231,26.7,28.2,107.0,13.3,6.3,0.4,0.003,2.0,125.0,0.139,,78.8,7.3,,38.5,272.4,7.5,0.864,29.9,70.1,,,427,0.0,1098,0.41,28.1,987,41.0,425.0,low
Gloucester,0.292,-0.1,9.3,969.5,28.3,9.9,436.2,17.7,0.096,32.3,25.0,36.9,1035.0,2619.0,51.9,7.12,186.0,20.8,64.3,11.1,12.5,53.8,4.6,2.27,32.8,15.7,8.8,30676,0.02,1.1,25.4,47.3,51.8,10.4,-0.028,20.5,28.0,162.0,21.4,6.2,0.14,0.008,357.0,142.0,0.182,13940.0,88.9,60.2,-0.112,39.0,1.0,11.8,0.941,7.4,92.6,67541.0,0.24,336,9.2,20910,0.3,28.7,18159,36.0,5769.0,high
Goshen,0.042,0.129,10.4,208.7,,11.8,383.3,,0.012,71.2,14.0,56.0,1204.0,2150.0,51.3,1.81,39.0,3.6,189.9,9.5,21.3,20.5,3.3,2.53,19.5,15.4,10.6,12403,-0.16,0.9,19.0,43.8,85.2,,0.316,47.4,26.4,63.0,18.9,2.9,2.28,-0.001,1.0,38.0,0.117,,94.3,19.9,,42.0,721.7,7.0,0.979,5.5,94.5,,,456,0.0,756,1.22,26.2,672,28.0,266.0,low
Grafton,0.276,-0.124,12.5,160.4,24.1,9.1,462.3,19.4,0.18,53.6,40.0,57.6,1364.0,2364.0,51.6,1.05,25.0,12.1,70.6,4.5,51.7,22.2,5.9,2.56,24.2,21.6,7.2,38535,-0.01,0.3,10.7,35.9,82.7,17.2,-0.01,21.7,27.0,101.0,12.9,4.3,1.15,0.003,111.0,66.0,0.258,10064.0,90.3,22.9,0.04,32.0,37.6,20.4,,8.8,91.2,63673.0,0.42,323,12.2,12364,0.92,23.2,11453,27.0,5518.0,medium
Granby,0.076,-0.049,6.7,477.6,19.3,10.8,448.1,15.6,0.037,113.0,20.0,59.0,1383.0,2300.0,50.6,1.11,26.0,15.3,131.4,0.0,14.3,15.9,3.3,2.63,21.9,15.5,12.2,26416,0.01,0.6,9.6,44.2,73.7,7.4,0.152,36.5,32.0,121.0,19.1,5.2,2.35,-0.002,6.0,146.0,0.155,10828.0,91.8,26.9,-0.09,37.2,89.9,30.6,0.94,5.6,94.4,,0.37,427,11.1,4538,0.58,24.4,3956,6.0,1448.0,medium
Granville,0.042,-0.064,7.0,338.4,0.0,11.8,450.2,17.4,0.0,57.5,23.0,63.6,1727.0,2524.0,49.2,0.69,17.0,9.1,201.0,19.2,22.9,27.5,4.6,2.58,20.9,15.1,12.3,28163,0.06,0.0,12.8,46.7,86.1,,0.409,59.4,32.9,66.0,6.3,2.6,1.12,0.001,11.0,82.0,0.029,15990.0,83.6,28.7,,32.3,357.4,30.4,0.922,22.4,77.6,66924.0,0.18,485,0.0,1169,0.52,13.6,990,-16.0,415.0,low
Great Barrington,0.167,-0.053,6.9,177.4,60.9,10.4,449.3,,0.045,136.8,76.0,55.8,1593.0,2623.0,52.3,1.74,46.0,7.6,73.9,16.9,12.2,51.8,6.6,2.2,35.2,,10.7,30174,-0.06,0.8,69.0,45.8,51.4,,0.038,19.4,24.3,196.0,25.2,7.5,0.06,-0.005,179.0,,0.095,,79.3,8.7,,37.5,59.4,3.8,0.81,15.9,84.2,,,332,,4606,0.21,39.8,4112,66.0,1435.0,very high
Greenfield,0.247,-0.079,9.9,136.9,,10.5,459.3,20.4,0.052,107.4,36.0,36.8,930.0,2356.0,52.5,3.5,83.0,21.5,74.0,5.7,0.0,48.8,9.2,2.15,38.0,17.5,6.6,19298,-0.01,1.6,22.9,42.3,46.3,20.0,0.079,22.8,20.0,154.0,19.4,6.5,0.01,0.003,145.0,327.0,0.09,12290.0,74.9,8.5,0.405,36.0,98.8,31.4,0.923,15.2,84.8,87172.0,0.31,291,65.1,11608,0.23,33.1,9409,49.0,4426.0,medium
Groton,0.107,-0.083,6.9,254.6,5.6,9.1,471.5,,0.048,75.9,126.0,58.4,1525.0,2579.0,50.6,2.72,70.0,10.7,73.5,5.6,9.7,13.0,6.5,2.79,19.4,25.2,6.1,57386,0.05,0.4,9.4,42.2,94.8,,-0.078,23.2,22.1,158.0,20.5,6.1,2.69,0.01,117.0,96.0,0.079,,93.6,21.0,,40.4,14.9,2.2,0.865,15.6,84.4,,,345,6.5,7820,1.14,22.0,7285,38.0,2630.0,high
Groveland,0.126,-0.097,7.4,246.2,3.1,9.5,440.0,,0.07,23.2,31.0,63.2,1169.0,1602.0,51.6,1.71,28.0,5.7,86.8,3.1,13.8,25.0,5.3,2.75,18.5,14.5,13.3,33334,0.13,0.3,13.9,43.4,85.2,,0.146,30.3,44.8,149.0,16.9,9.3,1.76,0.008,18.0,69.0,0.192,,90.8,37.5,,57.5,3.1,5.4,0.939,6.5,93.5,,,372,3.0,4716,0.7,21.6,4536,10.0,1539.0,medium
Hadley,0.064,-0.002,5.1,489.5,59.1,10.6,507.6,16.8,0.0,295.6,40.0,41.8,1026.0,2457.0,52.2,1.65,41.0,14.5,112.6,9.5,15.5,28.9,4.9,2.41,27.6,22.1,10.3,25450,-0.14,0.2,32.4,46.1,62.3,17.6,0.456,18.9,19.9,190.0,28.4,7.8,0.99,-0.002,64.0,450.0,0.145,11268.0,65.9,13.5,-0.016,49.1,183.2,10.6,0.924,14.3,85.7,56677.0,0.43,350,26.5,3894,0.46,36.5,3493,44.0,1239.0,medium
Halifax,0.14,-0.17,10.4,340.5,37.0,10.0,408.8,19.2,0.111,55.6,44.0,56.7,1371.0,2329.0,51.3,4.39,102.0,10.9,82.7,0.0,7.9,10.2,6.3,2.63,23.5,11.5,8.3,28177,0.05,0.4,14.6,43.7,76.8,3.7,0.205,39.1,41.6,148.0,15.9,6.3,6.96,0.006,20.0,100.0,0.121,12209.0,89.3,44.0,-0.149,44.4,11.9,18.6,0.959,5.0,95.0,68746.0,0.33,409,24.9,5362,0.75,22.3,4874,-0.9,1789.0,medium
Hamilton,0.038,-0.105,11.5,291.1,21.7,9.7,423.0,,0.015,43.0,86.0,67.3,1992.0,2727.0,50.9,2.23,61.0,6.0,62.7,9.0,15.6,31.1,3.8,2.83,15.7,19.9,7.5,52877,-0.13,0.0,12.9,37.4,68.6,,-0.145,16.0,27.9,159.0,17.9,5.8,1.81,0.008,39.0,70.0,0.009,,94.6,33.4,,46.4,6.4,2.6,0.827,13.6,86.4,,,326,6.3,5837,0.5,17.6,4988,38.0,1489.0,very high
Hampden,0.034,-0.067,7.8,406.7,42.8,10.7,450.3,,0.023,50.4,24.0,71.4,1377.0,1833.0,51.4,0.74,14.0,3.9,110.9,1.9,9.4,14.1,4.6,2.66,17.9,11.2,13.3,35948,0.04,1.2,15.6,48.1,73.3,,0.252,36.8,40.0,197.0,29.0,10.8,2.89,0.001,31.0,69.0,0.145,,92.8,25.7,,54.6,46.7,5.0,0.951,4.7,95.3,,,416,9.6,3635,0.46,20.2,3339,-5.0,970.0,medium
Hanover,0.055,-0.056,8.7,196.7,22.2,9.2,395.7,21.3,0.03,109.4,39.0,52.9,1748.0,3249.0,51.2,4.97,161.0,13.5,59.8,1.4,1.3,13.7,2.5,2.93,17.4,17.7,7.4,41838,-0.03,0.6,15.9,40.2,80.9,3.9,-0.121,18.4,44.2,185.0,20.8,5.7,3.1,0.005,117.0,190.0,0.249,10857.0,82.5,27.9,-0.014,56.5,3.6,15.8,0.929,8.6,91.4,68747.0,0.46,406,2.1,9743,0.52,22.6,9652,4.0,3125.0,high
Hanson,0.061,-0.116,10.3,274.3,28.2,10.5,391.9,,0.034,77.1,20.0,45.7,807.0,1766.0,50.3,8.18,144.0,13.9,88.3,2.0,9.3,18.4,6.1,2.94,17.3,14.1,7.3,28539,-0.03,0.4,13.7,40.5,81.3,,0.074,35.4,56.2,165.0,23.4,9.3,2.13,0.006,18.0,108.0,0.182,,92.3,40.5,,42.4,1.9,5.5,0.961,12.0,88.0,,,427,28.0,7013,0.64,21.9,6741,-1.0,2548.0,medium
Hardwick,0.17,-0.186,8.4,301.0,40.0,11.2,379.9,,0.007,46.2,42.0,50.9,727.0,1430.0,49.8,2.74,39.0,7.5,177.7,6.7,10.1,51.8,2.5,2.54,24.3,15.6,7.8,14251,-0.08,0.7,36.8,45.9,81.9,,0.012,28.4,28.3,115.0,10.0,8.1,0.27,0.003,6.0,182.0,0.194,,91.6,25.1,,47.0,173.3,9.2,0.975,22.2,77.8,,,381,36.3,1736,0.39,22.5,1529,1.0,748.0,low
Harvard,0.084,-0.117,3.2,256.1,30.6,9.7,405.7,19.0,0.051,110.1,88.0,55.2,1775.0,1562.0,42.0,1.02,16.0,15.0,62.4,9.2,3.4,18.0,5.9,2.76,16.0,37.8,7.1,58932,-0.23,0.2,6.1,44.7,94.7,15.8,0.073,20.4,21.7,79.0,19.8,5.1,0.64,0.003,113.0,76.0,0.097,13984.0,95.0,13.7,-0.055,42.7,56.6,13.9,0.948,15.0,85.0,79461.0,0.23,279,4.5,4287,0.56,24.5,4129,51.0,2189.0,low
Harwich,0.105,-0.148,7.7,916.4,117.7,10.7,511.2,15.0,0.073,88.0,256.0,31.1,1321.0,4047.0,53.5,6.98,282.0,18.2,92.5,2.5,13.2,15.4,2.8,2.15,33.0,25.8,5.2,29505,-0.01,0.9,34.3,50.8,60.2,,0.27,23.9,19.9,246.0,26.8,6.1,3.62,-0.001,99.0,203.0,0.17,14511.0,92.7,64.5,,57.6,4.9,7.3,0.951,5.7,94.3,67436.0,0.21,467,22.7,10452,0.5,24.9,9448,26.0,2146.0,high
Hatfield,0.11,-0.01,7.0,420.9,18.3,10.8,528.2,14.5,0.017,52.5,,,,,51.2,,,,154.9,24.4,4.9,35.6,2.6,2.21,31.2,29.4,9.6,28920,-0.24,0.3,30.5,48.2,68.6,6.2,0.259,31.1,16.9,,6.1,,0.5,-0.002,18.0,,0.144,11078.0,74.3,20.1,0.077,39.2,290.3,17.6,0.904,5.5,94.5,50028.0,0.48,415,,2567,0.24,35.3,2313,39.0,716.0,medium
Haverhill,0.423,-0.167,13.6,81.8,75.3,9.8,431.7,18.5,0.24,137.6,18.0,50.2,1113.0,2192.0,52.0,7.15,157.0,11.2,45.7,3.1,6.5,40.4,10.4,2.47,29.6,13.1,5.3,24098,0.02,1.9,14.8,38.1,59.0,32.8,0.028,20.3,37.8,141.0,16.0,6.4,0.29,0.008,94.0,234.0,0.138,11604.0,82.6,20.0,0.031,33.1,0.7,28.1,0.891,8.0,92.0,66213.0,0.35,282,67.5,43400,0.84,29.7,32401,20.0,17274.0,medium
Heath,0.008,-0.067,9.9,297.5,,11.0,420.7,,0.0,28.3,51.0,44.2,1201.0,2377.0,48.6,1.08,26.0,7.6,245.8,14.2,50.5,21.7,6.0,2.34,26.5,26.0,5.8,11863,-0.14,1.4,14.2,51.1,85.5,,-0.056,48.2,29.8,25.0,,1.0,1.31,0.003,3.0,,0.155,,93.0,15.6,,36.3,593.2,4.0,0.919,7.4,92.6,,,470,,509,0.47,29.2,468,29.0,100.0,medium
Hingham,0.134,-0.032,8.9,566.9,,9.0,408.0,19.9,0.099,114.9,65.0,48.6,1688.0,3308.0,53.0,5.64,187.0,16.2,44.1,2.7,2.6,27.7,3.2,2.59,26.6,24.4,8.0,74095,-0.03,0.2,19.4,43.0,68.5,7.5,0.067,13.6,18.7,190.0,25.1,5.8,1.08,0.005,251.0,162.0,0.223,11415.0,87.2,30.0,0.06,63.0,5.4,10.1,0.898,6.2,93.8,73081.0,0.39,360,7.6,16974,0.22,24.4,16229,36.0,4946.0,high
Hinsdale,0.083,0.048,7.9,1038.4,84.2,10.8,397.6,,0.026,16.7,,,,,49.9,,,,175.7,0.0,26.7,29.5,1.8,2.34,25.9,14.9,3.5,26203,-0.05,1.0,29.5,46.3,70.7,,0.013,37.9,34.6,,4.9,,0.3,-0.006,5.0,,0.149,,84.4,17.2,,40.0,425.7,6.8,0.913,13.3,86.7,,,445,,1417,0.42,24.8,1210,30.0,613.0,medium
Holbrook,0.074,-0.175,12.8,122.3,38.7,10.0,427.7,19.4,0.015,93.3,27.0,45.9,1220.0,2434.0,51.3,7.55,184.0,20.6,43.8,1.9,,29.4,12.2,2.62,25.3,12.4,12.9,25446,0.01,1.2,16.7,41.8,56.1,33.4,-0.204,20.2,59.7,163.0,19.3,6.7,1.7,0.007,30.0,206.0,0.063,14264.0,84.7,21.5,0.046,42.0,2.8,17.4,0.846,5.3,94.8,60030.0,0.47,335,38.3,7092,0.11,33.0,6213,21.0,2970.0,medium
Holden,0.133,-0.11,9.3,175.8,12.1,8.7,461.3,,0.093,64.6,43.0,58.2,1225.0,2066.0,51.5,2.85,59.0,7.0,71.0,5.8,1.8,13.3,3.9,2.69,19.4,17.1,7.9,36000,-0.04,0.4,9.8,41.4,80.9,,0.492,22.7,29.6,116.0,15.5,5.6,1.9,0.004,93.0,56.0,0.133,,93.7,24.2,,48.4,48.3,7.6,0.928,10.2,89.8,,,326,4.6,12912,0.5,21.7,12654,18.0,4928.0,high
Holland,0.016,-0.16,9.3,1370.4,,9.9,466.3,17.6,0.003,16.1,15.0,63.4,1438.0,2193.0,48.2,1.17,26.0,11.0,139.4,0.0,23.0,10.3,4.4,2.5,22.1,9.2,5.4,25880,0.05,0.0,24.2,42.4,95.4,7.8,0.126,43.1,23.1,63.0,8.0,2.9,5.58,0.0,1.0,,0.106,13702.0,95.3,28.6,-0.186,30.0,72.5,19.1,0.974,4.4,95.6,54590.0,0.47,417,,1864,1.05,19.5,1545,-6.0,690.0,low
Holliston,0.102,-0.044,10.0,143.2,12.4,9.0,468.7,16.6,0.06,87.8,38.0,58.9,2042.0,3312.0,50.8,1.25,42.0,12.3,62.7,3.7,7.0,15.9,5.3,2.74,18.7,21.9,10.6,46814,0.0,0.7,8.9,43.9,78.0,9.7,-0.019,19.3,25.5,162.0,17.6,4.9,2.61,0.01,118.0,77.0,0.152,12198.0,87.2,20.2,-0.028,43.0,2.2,19.2,0.944,6.5,93.5,71152.0,0.34,358,5.8,10507,0.31,27.3,9617,44.0,3368.0,very high
Holyoke,0.307,-0.05,15.2,110.3,105.2,11.4,362.5,17.1,0.046,212.1,40.0,45.9,1501.0,2602.0,53.1,6.9,180.0,16.5,37.3,3.5,,43.4,19.7,2.51,32.0,11.7,6.6,14612,-0.02,5.5,21.8,36.6,38.2,82.8,-0.03,10.7,47.5,229.0,32.9,8.8,-0.27,0.001,117.0,627.0,0.224,15700.0,71.5,9.1,-0.04,38.3,4.3,53.0,1.0,18.5,81.5,64686.0,0.34,215,94.9,25781,0.04,44.9,16313,39.0,10094.0,medium
Hopedale,0.274,-0.143,10.3,126.9,28.7,9.2,464.4,18.0,0.179,44.3,50.0,51.8,1641.0,3002.0,51.0,3.19,96.0,13.8,61.9,3.4,6.0,39.2,4.4,2.66,22.6,16.1,8.7,34877,0.04,0.2,10.2,42.0,69.2,7.9,0.151,20.6,23.2,174.0,21.9,5.8,0.7,0.004,2.0,85.0,0.048,10448.0,88.1,22.3,-0.048,51.5,13.5,35.7,0.961,9.5,90.5,64378.0,0.39,349,28.4,3951,0.58,21.3,3775,24.0,1405.0,high
Hopkinton,0.127,-0.042,8.0,247.2,1.3,8.3,419.6,19.9,0.088,128.4,23.0,58.4,2243.0,3844.0,50.8,3.27,126.0,13.0,56.3,1.3,5.6,13.9,3.9,2.99,16.0,27.6,4.4,71923,-0.14,0.2,9.4,39.8,93.2,9.6,0.034,18.3,27.2,158.0,16.0,4.1,3.28,0.01,118.0,62.0,0.103,12472.0,82.8,20.6,-0.011,35.1,24.5,13.3,0.937,5.7,94.3,74294.0,0.41,364,1.3,10395,1.47,22.0,10296,39.0,3987.0,very high
Hubbardston,0.113,-0.201,5.0,337.7,50.0,10.1,429.5,,0.054,19.6,,,,,50.0,,,,147.8,6.8,39.9,19.6,4.8,2.8,16.6,20.5,6.0,29225,0.02,0.5,13.7,42.4,110.4,,0.032,36.3,32.6,,15.9,,2.86,0.003,6.0,119.0,0.145,,93.3,36.5,,36.5,161.5,5.6,0.932,8.9,91.1,,,420,24.8,3179,2.0,17.3,2927,-1.8,1136.0,low
Hudson,0.295,-0.163,11.8,184.1,12.5,9.7,470.2,17.7,0.185,98.5,51.0,55.6,1767.0,3026.0,50.7,4.59,139.0,7.7,49.1,1.6,3.7,22.1,10.4,2.53,25.9,19.1,7.5,30802,0.03,0.4,17.8,41.0,65.9,11.2,0.094,23.9,36.7,156.0,19.3,5.2,1.32,0.011,173.0,121.0,0.209,13294.0,81.7,29.6,-0.029,39.9,18.7,18.6,0.959,7.1,92.9,70503.0,0.43,348,4.1,12878,0.61,23.9,11583,31.0,5419.0,high
Hull,0.219,-0.125,7.6,773.3,,9.4,454.1,19.3,0.154,48.4,25.0,39.5,1244.0,2858.0,52.6,8.32,238.0,23.4,22.6,4.9,5.6,43.4,3.6,2.22,34.1,22.3,6.9,31954,0.04,0.9,27.2,46.5,55.9,4.0,-0.061,18.0,31.5,244.0,29.0,8.5,2.05,0.005,83.0,104.0,0.124,15251.0,95.2,38.6,-0.12,28.7,4.8,15.4,0.897,9.8,90.2,71967.0,0.28,333,32.6,8211,0.25,34.3,7080,29.0,2171.0,medium
Huntington,0.061,-0.047,11.5,500.0,,10.7,384.4,,0.0,43.1,37.0,69.1,1243.0,1756.0,49.9,1.47,26.0,3.7,212.2,4.6,88.1,35.0,4.9,2.51,23.3,9.3,6.9,27329,0.03,2.8,18.3,42.3,78.0,,0.068,36.2,34.6,49.0,,2.8,0.73,-0.001,4.0,,0.184,,93.8,26.6,,29.7,381.3,12.6,0.866,38.8,61.2,,,489,,1433,0.6,19.6,1217,-0.66,556.0,medium
Ipswich,0.214,-0.127,7.8,1143.1,48.9,9.4,482.6,19.8,0.135,58.8,48.0,55.2,1612.0,2872.0,52.4,3.85,111.0,5.7,70.0,23.5,18.0,33.7,4.5,2.38,28.8,20.8,10.7,43107,-0.07,0.5,27.3,45.4,66.2,8.9,0.084,22.5,20.5,173.0,22.6,6.0,0.91,0.008,84.0,80.0,0.123,11548.0,88.4,47.8,-0.033,42.8,2.3,14.2,0.898,8.9,91.1,63121.0,0.31,365,3.7,10501,0.5,22.2,9614,33.0,2769.0,high
Kingston,0.08,-0.13,8.9,413.3,33.1,9.9,392.5,22.9,0.036,72.8,61.0,52.3,1423.0,2722.0,52.2,5.68,155.0,11.9,76.1,2.4,13.8,25.4,5.4,2.66,24.4,14.0,6.7,31648,0.0,0.7,21.4,42.3,76.8,4.1,0.158,23.8,38.4,208.0,22.8,7.6,2.65,0.005,28.0,205.0,0.142,10735.0,84.2,41.4,-0.033,46.5,7.1,13.7,0.888,12.7,87.3,64526.0,0.29,404,13.3,8934,1.11,22.8,8520,9.0,2997.0,high
Lakeville,0.027,-0.165,8.0,699.9,72.2,9.9,450.8,,0.018,78.9,26.0,60.2,1175.0,1945.0,51.0,4.18,81.0,11.4,109.4,0.9,7.0,12.4,4.8,2.82,16.8,10.7,3.3,34937,0.08,0.3,14.1,41.8,99.0,,0.321,38.4,44.8,120.0,15.9,6.2,4.13,0.005,18.0,206.0,0.121,,84.9,41.8,,43.9,2.8,4.0,0.933,8.3,91.7,72613.0,,407,11.2,7765,1.48,18.7,7323,-6.0,2590.0,medium
Lancaster,0.114,-0.157,7.4,192.4,35.9,9.9,385.1,,0.049,124.5,36.0,61.2,1193.0,1951.0,43.7,1.43,28.0,5.8,72.9,12.4,18.7,26.9,8.4,2.66,21.8,22.4,7.3,28363,-0.11,0.1,1.2,38.7,90.8,,0.135,23.0,38.2,110.0,14.8,5.6,1.24,0.003,39.0,102.0,0.084,,86.3,19.1,,38.2,39.6,5.5,0.972,21.0,79.0,,,288,11.0,4807,0.74,20.0,4354,16.0,2204.0,low
Lanesborough,0.063,-0.034,9.7,634.1,,10.6,391.5,16.9,0.016,54.4,32.0,55.9,1747.0,2983.0,50.8,0.78,23.0,15.3,164.7,6.5,23.6,24.2,2.7,2.39,25.4,16.9,19.2,21333,-0.2,1.0,45.3,42.3,61.2,5.7,-0.113,33.0,31.0,197.0,22.5,6.6,0.49,-0.006,48.0,,0.2,14498.0,80.0,10.0,-0.207,34.5,374.2,17.4,0.951,7.5,92.5,,0.19,451,,2205,0.16,28.6,1891,33.0,783.0,low
Lawrence,0.597,-0.209,18.0,15.6,88.6,12.0,281.0,20.6,0.112,83.8,17.0,62.1,1806.0,2907.0,51.9,3.94,115.0,9.5,14.5,3.1,1.5,44.7,41.9,3.0,24.5,7.3,3.8,11893,-0.04,4.9,13.1,30.9,35.7,94.3,-0.276,5.6,98.3,147.0,18.1,5.1,-0.05,0.008,90.0,253.0,0.115,13272.0,76.3,10.0,0.076,33.8,0.0,66.2,0.919,18.0,82.0,70949.0,0.46,179,101.1,40493,0.51,54.0,23208,48.0,22825.0,medium
Lee,0.166,-0.021,8.7,353.4,57.6,10.0,422.2,14.5,0.065,58.9,55.0,47.3,1288.0,2520.0,52.0,0.65,16.0,21.1,135.9,11.8,23.7,29.0,4.3,2.26,32.4,14.0,10.8,23579,-0.14,1.5,45.4,43.3,55.2,13.3,-0.2,18.8,21.9,149.0,20.1,5.9,0.23,-0.006,61.0,218.0,0.133,14047.0,70.0,9.8,-0.131,46.4,223.5,17.1,0.89,11.4,88.6,56898.0,0.34,388,25.2,4086,0.27,28.6,3489,41.0,1338.0,medium
Leicester,0.11,-0.151,8.9,298.1,39.1,10.0,412.1,21.5,0.031,114.5,15.0,60.1,1394.0,2285.0,51.2,0.85,20.0,13.5,79.0,0.9,11.0,32.0,7.0,2.64,22.8,14.6,7.9,26176,0.03,0.6,15.5,39.7,73.5,10.8,0.129,27.9,45.3,147.0,,6.4,0.82,0.003,22.0,155.0,0.111,11484.0,89.2,21.1,-0.085,40.1,231.6,44.8,0.942,10.3,89.8,69538.0,0.35,359,16.2,7480,0.46,29.3,6415,-0.7,2703.0,medium
Lenox,0.241,-0.116,6.4,163.2,48.0,9.4,473.4,13.6,0.163,141.1,99.0,49.8,1646.0,2533.0,54.8,1.6,41.0,17.8,91.3,17.9,0.0,28.2,4.3,2.09,40.3,19.3,5.8,35804,-0.06,0.4,89.6,48.4,53.5,11.0,-0.374,13.3,14.5,124.0,21.8,4.9,0.39,-0.006,166.0,244.0,0.127,15072.0,81.1,9.0,-0.04,59.9,92.1,16.5,0.905,11.7,88.3,68077.0,0.17,304,9.9,3811,0.11,42.8,3368,62.0,788.0,high
Leominster,0.296,-0.212,11.3,112.9,59.4,9.7,459.4,18.5,0.136,120.5,43.0,58.4,1284.0,2121.0,51.5,7.3,155.0,8.3,48.9,2.0,13.2,28.5,10.9,2.41,30.0,16.0,7.2,24049,0.0,1.3,16.2,40.0,58.0,40.2,-0.063,19.7,31.6,145.0,20.2,6.8,0.69,0.003,57.0,321.0,0.176,12233.0,78.0,18.3,-0.008,38.4,19.1,38.7,0.92,11.3,88.7,62401.0,0.39,297,65.7,26277,0.51,28.5,21525,17.0,9872.0,high
Leverett,0.054,-0.05,3.8,297.1,,11.8,571.6,16.7,0.002,48.1,45.0,66.1,1831.0,2770.0,50.2,1.92,53.0,4.1,112.0,5.4,50.0,26.5,7.4,2.41,23.4,40.2,5.0,34740,-0.06,0.0,5.4,47.9,84.9,17.4,-0.229,20.0,15.7,97.0,10.7,3.5,1.34,0.003,104.0,,0.151,16999.0,96.2,19.4,-0.083,36.0,145.4,9.7,0.906,7.4,92.6,59975.0,0.23,373,,1493,0.7,46.4,1386,74.0,451.0,medium
Lexington,0.109,0.022,6.5,42.0,21.8,8.4,482.5,19.3,0.084,109.7,94.0,59.3,2311.0,3836.0,52.5,4.22,162.0,4.3,22.7,4.8,3.5,22.0,7.4,2.68,21.0,39.7,10.2,86260,-0.1,0.1,8.9,45.8,57.0,43.5,-0.166,8.2,28.6,181.0,19.3,4.7,0.81,0.01,1216.0,71.0,0.197,16726.0,86.6,9.4,0.043,58.1,0.9,4.5,0.897,7.7,92.3,,0.4,249,4.1,22174,0.14,38.7,20048,65.0,7862.0,high
